"person_id";"player_name";"from_year";"to_year";"team_id";"team_city";"team_name";"team_abbr";"games_played_flag"
1630537;"Chris Duarte";2021;2023;1610612758;"Sacramento";"Kings";"SAC";"Y"
1630540;"Miles McBride";2021;2023;1610612752;"New York";"Knicks";"NYK";"Y"
1630541;"Moses Moody";2021;2023;1610612744;"Golden State";"Warriors";"GSW";"Y"
1630544;"Tre Mann";2021;2023;1610612766;"Charlotte";"Hornets";"CHA";"Y"
1630547;"James Bouknight";2021;2023;0;"";"";"";"Y"
1630557;"Corey Kispert";2021;2023;1610612764;"Washington";"Wizards";"WAS";"Y"
1630558;"Davion Mitchell";2021;2023;1610612758;"Sacramento";"Kings";"SAC";"Y"
1630579;"Jericho Sims";2021;2023;1610612752;"New York";"Knicks";"NYK";"Y"
1630581;"Josh Giddey";2021;2023;1610612760;"Oklahoma City";"Thunder";"OKC";"Y"
1630598;"Aaron Wiggins";2021;2023;1610612760;"Oklahoma City";"Thunder";"OKC";"Y"
1630604;"E.J. Liddell";2022;2023;1610612740;"New Orleans";"Pelicans";"NOP";"Y"
1630611;"Gui Santos";2023;2023;1610612744;"Golden State";"Warriors";"GSW";"Y"
1630700;"Dyson Daniels";2022;2023;1610612740;"New Orleans";"Pelicans";"NOP";"Y"
1630702;"Jaden Hardy";2022;2023;1610612742;"Dallas";"Mavericks";"DAL";"Y"
1631096;"Chet Holmgren";2022;2023;1610612760;"Oklahoma City";"Thunder";"OKC";"Y"
1631097;"Bennedict Mathurin";2022;2023;1610612754;"Indiana";"Pacers";"IND";"Y"
1631098;"Johnny Davis";2022;2023;1610612764;"Washington";"Wizards";"WAS";"Y"
1631099;"Keegan Murray";2022;2023;1610612758;"Sacramento";"Kings";"SAC";"Y"
1631107;"Nikola Jovic";2022;2023;1610612748;"Miami";"Heat";"MIA";"Y"
1631109;"Mark Williams";2022;2023;1610612766;"Charlotte";"Hornets";"CHA";"Y"
1631111;"Wendell Moore Jr.";2022;2023;1610612750;"Minnesota";"Timberwolves";"MIN";"Y"
1631112;"Kendall Brown";2022;2023;1610612754;"Indiana";"Pacers";"IND";"Y"
1631114;"Jalen Williams";2022;2023;1610612760;"Oklahoma City";"Thunder";"OKC";"Y"
1631116;"Patrick Baldwin Jr.";2022;2023;1610612764;"Washington";"Wizards";"WAS";"Y"
1631119;"Jaylin Williams";2022;2023;1610612760;"Oklahoma City";"Thunder";"OKC";"Y"
1631120;"JD Davison";2022;2023;1610612738;"Boston";"Celtics";"BOS";"Y"
1631121;"Bryce McGowens";2022;2023;1610612766;"Charlotte";"Hornets";"CHA";"Y"
1631169;"Josh Minott";2022;2023;1610612750;"Minnesota";"Timberwolves";"MIN";"Y"
1631170;"Jaime Jaquez Jr.";2023;2023;1610612748;"Miami";"Heat";"MIA";"Y"
1631172;"Ousmane Dieng";2022;2023;1610612760;"Oklahoma City";"Thunder";"OKC";"Y"
1631209;"Isaiah Wong";2023;2023;1610612754;"Indiana";"Pacers";"IND";"Y"
1631217;"Moussa Diabate";2022;2023;1610612746;"LA";"Clippers";"LAC";"Y"
1631218;"Trayce Jackson-Davis";2023;2023;1610612744;"Golden State";"Warriors";"GSW";"Y"
1641706;"Brandon Miller";2023;2023;1610612766;"Charlotte";"Hornets";"CHA";"Y"
1641707;"Taylor Hendricks";2023;2023;1610612762;"Utah";"Jazz";"UTA";"Y"
1641716;"Jarace Walker";2023;2023;1610612754;"Indiana";"Pacers";"IND";"Y"
1641717;"Cason Wallace";2023;2023;1610612760;"Oklahoma City";"Thunder";"OKC";"Y"
1641718;"Keyonte George";2023;2023;1610612762;"Utah";"Jazz";"UTA";"Y"
1641722;"Jordan Hawkins";2023;2023;1610612740;"New Orleans";"Pelicans";"NOP";"Y"
1641726;"Dereck Lively II";2023;2023;1610612742;"Dallas";"Mavericks";"DAL";"Y"
1641729;"Brice Sensabaugh";2023;2023;1610612762;"Utah";"Jazz";"UTA";"Y"
1641731;"Bilal Coulibaly";2023;2023;1610612764;"Washington";"Wizards";"WAS";"Y"
1641732;"Colby Jones";2023;2023;1610612758;"Sacramento";"Kings";"SAC";"Y"
1641733;"Nick Smith Jr.";2023;2023;1610612766;"Charlotte";"Hornets";"CHA";"Y"
1641735;"Amari Bailey";2023;2023;1610612766;"Charlotte";"Hornets";"CHA";"Y"
1641738;"Kobe Brown";2023;2023;1610612746;"LA";"Clippers";"LAC";"Y"
1641740;"Jaylen Clark";2023;2023;1610612750;"Minnesota";"Timberwolves";"MIN";"N"
1641749;"Keyontae Johnson";2023;2023;1610612760;"Oklahoma City";"Thunder";"OKC";"Y"
1641757;"Jordan Miller";2023;2023;1610612746;"LA";"Clippers";"LAC";"Y"
1641764;"Brandin Podziemski";2023;2023;1610612744;"Golden State";"Warriors";"GSW";"Y"
1641765;"Olivier-Maxence Prosper";2023;2023;1610612742;"Dallas";"Mavericks";"DAL";"Y"
1641767;"Ben Sheppard";2023;2023;1610612754;"Indiana";"Pacers";"IND";"Y"
1641771;"Jalen Slawson";2023;2023;1610612758;"Sacramento";"Kings";"SAC";"Y"
1641775;"Jordan Walsh";2023;2023;1610612738;"Boston";"Celtics";"BOS";"Y"
